date,Korea,Korea_s
13/02/2021,3260,3260
14/02/2021,3440,3440
15/02/2021,4560,4560
16/02/2021,6210,6210
17/02/2021,6210,6210
18/02/2021,5610,5610
19/02/2021,4460,4460
20/02/2021,4180,4180
21/02/2021,3320,3320
22/02/2021,3570,3570
23/02/2021,4390,4390
24/02/2021,3960,3960
25/02/2021,4060,4060
26/02/2021,3990,3990
27/02/2021,3550,3550
28/02/2021,3550,3550
01/03/2021,3410,3410
02/03/2021,4440,4440
03/03/2021,4240,4240
04/03/2021,3980,3980
05/03/2021,4170,4170
06/03/2021,4160,4160
07/03/2021,3460,3460
08/03/2021,4460,4460
09/03/2021,4700,4700
10/03/2021,4650,4650
11/03/2021,4880,4880
12/03/2021,4900,4900
13/03/2021,4590,4590
14/03/2021,3820,3820
15/03/2021,3630,3630
16/03/2021,4690,4690
17/03/2021,4450,4450
18/03/2021,4630,4630
19/03/2021,4520,4520
20/03/2021,4560,4560
21/03/2021,4100,4100
22/03/2021,3460,3460
23/03/2021,4250,4250
24/03/2021,4300,4300
25/03/2021,4940,4940
26/03/2021,5050,5050
27/03/2021,4820,4820
28/03/2021,3840,3840
29/03/2021,4410,4410
30/03/2021,5060,5060
31/03/2021,5510,5510
01/04/2021,5550,5550
02/04/2021,5420,5420
03/04/2021,5430,5430
04/04/2021,4730,4730
05/04/2021,4780,4780
06/04/2021,6680,6680
07/04/2021,7000,7000
08/04/2021,6710,6710
09/04/2021,6760,6760
10/04/2021,6140,6140
11/04/2021,5870,5870
12/04/2021,5420,5420
13/04/2021,7310,7310
14/04/2021,6980,6980
15/04/2021,6720,6720
16/04/2021,6550,6550
17/04/2021,6710,6710
18/04/2021,5310,5310
19/04/2021,5490,5490
20/04/2021,7310,7310
21/04/2021,7350,7350
22/04/2021,7970,7970
23/04/2021,7850,7850
24/04/2021,6440,6440
25/04/2021,5000,5000
26/04/2021,5110,5110
27/04/2021,7750,7750
28/04/2021,6780,6780
29/04/2021,6560,6560
30/04/2021,6270,6270
01/05/2021,6060,6060
02/05/2021,4880,4880
03/05/2021,5410,5410
04/05/2021,6760,6760
05/05/2021,5740,5740
06/05/2021,5250,5250
07/05/2021,7010,7010
08/05/2021,5640,5640
09/05/2021,4630,4630
10/05/2021,5110,5110
11/05/2021,6350,6350
12/05/2021,7150,7150
13/05/2021,7470,7470
14/05/2021,6810,6810
15/05/2021,6100,6100
16/05/2021,6190,6190
17/05/2021,5280,5280
18/05/2021,6530,6530
19/05/2021,6460,6460
20/05/2021,5610,5610
21/05/2021,6660,6660
22/05/2021,5850,5850
23/05/2021,5380,5380
24/05/2021,5160,5160
25/05/2021,6990,6990
26/05/2021,6290,6290
27/05/2021,5870,5870
28/05/2021,5330,5330
29/05/2021,4790,4790
30/05/2021,4300,4300
31/05/2021,4590,4590
01/06/2021,6770,6770
02/06/2021,6810,6810
03/06/2021,6950,6950
04/06/2021,7440,7440
05/06/2021,5560,5560
06/06/2021,4850,4850
07/06/2021,4540,4540
08/06/2021,6010,6010
09/06/2021,6110,6110
10/06/2021,5560,5560
11/06/2021,5630,5630
12/06/2021,4520,4520
13/06/2021,3990,3990
14/06/2021,3740,3740
15/06/2021,5440,5440
16/06/2021,5400,5400
17/06/2021,5070,5070
18/06/2021,4820,4820
19/06/2021,4290,4290
20/06/2021,3570,3570
21/06/2021,3950,3950
22/06/2021,6440,6440
23/06/2021,6100,6100
24/06/2021,6340,6340
25/06/2021,6680,6680
26/06/2021,6140,6140
27/06/2021,5010,5010
28/06/2021,5950,5950
29/06/2021,7940,7940
30/06/2021,7620,7620
01/07/2021,8260,8260
02/07/2021,7930,7930
03/07/2021,7420,7420
