date,South Korea,South Korea
19/01/2021,403,403
20/01/2021,400,400
21/01/2021,344,344
22/01/2021,430,430
23/01/2021,392,392
24/01/2021,437,437
25/01/2021,354,354
26/01/2021,554,554
27/01/2021,497,497
28/01/2021,469,469
29/01/2021,455,455
30/01/2021,355,355
31/01/2021,303,303
01/02/2021,336,336
02/02/2021,467,467
03/02/2021,451,451
04/02/2021,369,369
05/02/2021,393,393
06/02/2021,372,372
07/02/2021,289,289
08/02/2021,302,302
09/02/2021,443,443
10/02/2021,504,504
11/02/2021,403,403
12/02/2021,362,362
13/02/2021,326,326
14/02/2021,344,344
15/02/2021,456,456
16/02/2021,621,621
17/02/2021,621,621
18/02/2021,561,561
19/02/2021,446,446
20/02/2021,418,418
21/02/2021,332,332
22/02/2021,357,357
23/02/2021,439,439
24/02/2021,396,396
25/02/2021,406,406
26/02/2021,399,399
27/02/2021,355,355
28/02/2021,355,355
01/03/2021,341,341
02/03/2021,444,444
03/03/2021,424,424
04/03/2021,398,398
05/03/2021,417,417
06/03/2021,416,416
07/03/2021,346,346
08/03/2021,446,446
09/03/2021,470,470
10/03/2021,465,465
11/03/2021,488,488
12/03/2021,490,490
13/03/2021,459,459
14/03/2021,382,382
15/03/2021,363,363
16/03/2021,469,469
17/03/2021,445,445
18/03/2021,463,463
19/03/2021,452,452
20/03/2021,456,456
21/03/2021,410,410
22/03/2021,346,346
23/03/2021,425,425
24/03/2021,430,430
25/03/2021,494,494
26/03/2021,505,505
27/03/2021,482,482
28/03/2021,384,384
29/03/2021,441,441
30/03/2021,506,506
31/03/2021,551,551
01/04/2021,555,555
02/04/2021,542,542
03/04/2021,543,543
04/04/2021,473,473
05/04/2021,478,478
06/04/2021,668,668
07/04/2021,700,700
08/04/2021,671,671
09/04/2021,676,676
10/04/2021,614,614
11/04/2021,587,587
12/04/2021,542,542
13/04/2021,731,731
14/04/2021,698,698
15/04/2021,672,672
16/04/2021,655,655
17/04/2021,671,671
18/04/2021,531,531
19/04/2021,549,549
20/04/2021,731,731
21/04/2021,735,735
22/04/2021,797,797
23/04/2021,785,785
24/04/2021,644,644
25/04/2021,500,500
26/04/2021,511,511
27/04/2021,775,775
28/04/2021,678,678
29/04/2021,656,656
30/04/2021,627,627
01/05/2021,606,606
02/05/2021,488,488
03/05/2021,541,541
04/05/2021,676,676
05/05/2021,574,574
06/05/2021,525,525
07/05/2021,701,701
08/05/2021,564,564
09/05/2021,463,463
10/05/2021,511,511
11/05/2021,635,635
12/05/2021,715,715
13/05/2021,747,747
14/05/2021,681,681
15/05/2021,610,610
16/05/2021,619,619
17/05/2021,528,528
18/05/2021,653,653
19/05/2021,646,646
20/05/2021,561,561
21/05/2021,666,666
22/05/2021,585,585
23/05/2021,538,538
24/05/2021,516,516
25/05/2021,699,699
26/05/2021,629,629
27/05/2021,587,587
28/05/2021,533,533
29/05/2021,479,479
30/05/2021,430,430
31/05/2021,459,459
01/06/2021,677,677
02/06/2021,681,681
03/06/2021,695,695
04/06/2021,744,744
05/06/2021,556,556
06/06/2021,485,485
07/06/2021,454,454
08/06/2021,601,601
09/06/2021,611,611
10/06/2021,556,556
11/06/2021,563,563
12/06/2021,452,452
13/06/2021,399,399
14/06/2021,374,374
15/06/2021,544,544
16/06/2021,540,540
17/06/2021,507,507
18/06/2021,482,482
19/06/2021,429,429
20/06/2021,357,357
21/06/2021,395,395
22/06/2021,644,644
23/06/2021,610,610
24/06/2021,634,634
25/06/2021,668,668
26/06/2021,614,614
27/06/2021,501,501
28/06/2021,595,595
29/06/2021,794,794
30/06/2021,762,762
01/07/2021,826,826
02/07/2021,793,793
03/07/2021,742,742
04/07/2021,711,711
05/07/2021,746,746
06/07/2021,1212,1212
07/07/2021,1275,1275
08/07/2021,1316,1316
09/07/2021,1378,1378
10/07/2021,1324,1324
11/07/2021,1100,1100
12/07/2021,1150,1150
13/07/2021,1615,1615
14/07/2021,1600,1600
15/07/2021,1535,1535
16/07/2021,1454,1454
17/07/2021,1451,1451
18/07/2021,1252,1252
19/07/2021,1278,1278
20/07/2021,1784,1784
21/07/2021,1838,1838
22/07/2021,1630,1630
23/07/2021,1629,1629
24/07/2021,1486,1486
25/07/2021,1318,1318
26/07/2021,1365,1365
27/07/2021,1896,1896
28/07/2021,1672,1672
29/07/2021,1707,1707
30/07/2021,1539,1539
31/07/2021,1442,1442
01/08/2021,1215,1215
02/08/2021,1201,1201
03/08/2021,1723,1723
04/08/2021,1776,1776
05/08/2021,1704,1704
06/08/2021,1822,1822
07/08/2021,1728,1728
08/08/2021,1492,1492
09/08/2021,1539,1539
10/08/2021,2219,2219
11/08/2021,1986,1986
12/08/2021,1990,1990
13/08/2021,1929,1929
14/08/2021,1817,1817
15/08/2021,1553,1553
16/08/2021,1373,1373
17/08/2021,1803,1803
18/08/2021,2151,2151
19/08/2021,2051,2051
20/08/2021,1880,1880
21/08/2021,1627,1627
22/08/2021,1416,1416
23/08/2021,1505,1505
24/08/2021,2152,2152
25/08/2021,1878,1878
26/08/2021,1841,1841
27/08/2021,1793,1793
28/08/2021,1617,1617
29/08/2021,1483,1483
30/08/2021,1370,1370
31/08/2021,2024,2024
01/09/2021,1956,1956
02/09/2021,1709,1709
03/09/2021,1803,1803
04/09/2021,1491,1491
