date,b_limp,b_sujo
08/04/2021,88555,88555
09/04/2021,88110,88110
10/04/2021,66552,66552
11/04/2021,39175,39175
12/04/2021,39650,39650
13/04/2021,82661,82661
14/04/2021,74606,74606
15/04/2021,71183,71183
16/04/2021,84387,84387
17/04/2021,68565,68565
18/04/2021,38838,38838
19/04/2021,36522,36522
20/04/2021,72643,72643
21/04/2021,73988,73988
22/04/2021,48108,48108
23/04/2021,69281,69281
24/04/2021,63781,63781
25/04/2021,33641,33641
26/04/2021,32398,32398
27/04/2021,75844,75844
28/04/2021,77279,77279
29/04/2021,68614,68614
30/04/2021,72008,72008
01/05/2021,58292,58292
02/05/2021,29288,29288
03/05/2021,38989,38989
04/05/2021,69535,69535
05/05/2021,76372,76372
06/05/2021,72290,72290
07/05/2021,76844,76844
08/05/2021,61761,61761
09/05/2021,32720,32720
10/05/2021,36301,36301
11/05/2021,70106,70106
12/05/2021,76248,76248
13/05/2021,80030,80030
14/05/2021,77914,77914
15/05/2021,67351,67351
16/05/2021,37564,37564
17/05/2021,35598,35598
18/05/2021,74805,74805
19/05/2021,80263,80263
20/05/2021,83387,83387
21/05/2021,76631,76631
22/05/2021,67896,67896
23/05/2021,38495,38495
24/05/2021,37480,37480
25/05/2021,74041,74041
26/05/2021,80245,80245
27/05/2021,64531,64531
28/05/2021,53888,53888
29/05/2021,75863,75863
30/05/2021,41449,41449
31/05/2021,36607,36607
01/06/2021,78913,78913
02/06/2021,96278,96278
03/06/2021,76067,76067
04/06/2021,43171,43171
05/06/2021,61667,61667
06/06/2021,40343,40343
07/06/2021,39716,39716
08/06/2021,55713,55713
09/06/2021,84867,84867
10/06/2021,91244,91244
11/06/2021,86312,86312
12/06/2021,73773,73773
13/06/2021,36984,36984
14/06/2021,42692,42692
15/06/2021,87141,87141
16/06/2021,86528,86528
17/06/2021,76492,76492
18/06/2021,95444,95444
19/06/2021,77934,77934
20/06/2021,44587,44587
21/06/2021,45410,45410
22/06/2021,124248,124248
23/06/2021,77396,77396
24/06/2021,76624,76624
25/06/2021,75061,75061
26/06/2021,60665,60665
27/06/2021,31980,31980
28/06/2021,32059,32059
29/06/2021,65956,65956
30/06/2021,47143,47143
01/07/2021,61130,61130
02/07/2021,63572,63572
03/07/2021,53733,53733
04/07/2021,25462,25462
05/07/2021,27935,27935
06/07/2021,61683,61683
07/07/2021,54167,54167
08/07/2021,54147,54147
09/07/2021,58452,58452
10/07/2021,44121,44121
11/07/2021,19147,19147
12/07/2021,19233,19233
13/07/2021,48566,48566
14/07/2021,56097,56097
15/07/2021,54398,54398
16/07/2021,42915,42915
17/07/2021,49030,49030
18/07/2021,16747,16747
19/07/2021,16756,16756
20/07/2021,31149,31149
21/07/2021,55836,55836
22/07/2021,48681,48681
23/07/2021,107120,107120
24/07/2021,34648,34648
25/07/2021,18256,18256
26/07/2021,21442,21442
27/07/2021,43591,43591
28/07/2021,47049,47049
29/07/2021,41321,41321
30/07/2021,40378,40378
31/07/2021,35088,35088
01/08/2021,20353,20353
02/08/2021,18875,18875
03/08/2021,32496,32496
04/08/2021,40537,40537
05/08/2021,39484,39484
06/08/2021,42671,42671
07/08/2021,39533,39533
08/08/2021,13894,13894
09/08/2021,15542,15542
10/08/2021,35462,35462
11/08/2021,35443,35443
12/08/2021,35858,35858
13/08/2021,32995,32995
14/08/2021,29302,29302
15/08/2021,13767,13767
16/08/2021,18190,18190
17/08/2021,39006,39006
18/08/2021,40171,40171
19/08/2021,36013,36013
20/08/2021,34213,34213
21/08/2021,25322,25322
22/08/2021,13945,13945
23/08/2021,15654,15654
24/08/2021,31809,31809
25/08/2021,29979,29979
26/08/2021,30923,30923
27/08/2021,27756,27756
28/08/2021,22947,22947
29/08/2021,11263,11263
30/08/2021,12801,12801
31/08/2021,26846,26846
01/09/2021,25748,25748
02/09/2021,27023,27023
03/09/2021,23604,23604
04/09/2021,20325,20325
05/09/2021,12661,12661
06/09/2021,10172,10172
07/09/2021,13604,13604
08/09/2021,14182,14182
09/09/2021,32823,32823
10/09/2021,16455,16455
11/09/2021,13762,13762
