date;Brazil;Brazil
24/04/2021;0.000300005;63781
25/04/2021;0.000158236;33641
26/04/2021;0.000152389;32398
27/04/2021;0.000356745;75844
28/04/2021;0.000363495;77279
29/04/2021;0.000322738;68614
30/04/2021;0.000338702;72008
01/05/2021;0.000274186;58292
02/05/2021;0.000137761;29288
03/05/2021;0.000183391;38989
04/05/2021;0.00032707;69535
05/05/2021;0.000359229;76372
06/05/2021;0.000340028;72290
07/05/2021;0.000361449;76844
08/05/2021;0.000290503;61761
09/05/2021;0.000153904;32720
10/05/2021;0.000170748;36301
11/05/2021;0.000329755;70106
12/05/2021;0.000358645;76248
13/05/2021;0.000376435;80030
14/05/2021;0.000366482;77914
15/05/2021;0.000316797;67351
16/05/2021;0.000176689;37564
17/05/2021;0.000167441;35598
18/05/2021;0.000351858;74805
19/05/2021;0.000377531;80263
20/05/2021;0.000392225;83387
21/05/2021;0.000360447;76631
22/05/2021;0.00031936;67896
23/05/2021;0.000181068;38495
24/05/2021;0.000176294;37480
25/05/2021;0.000348264;74041
26/05/2021;0.000377446;80245
27/05/2021;0.000303532;64531
28/05/2021;0.000253471;53888
29/05/2021;0.000356834;75863
30/05/2021;0.000194962;41449
31/05/2021;0.000172187;36607
01/06/2021;0.000371181;78913
02/06/2021;0.00045286;96278
03/06/2021;0.000357794;76067
04/06/2021;0.000203062;43171
05/06/2021;0.000290061;61667
06/06/2021;0.00018976;40343
07/06/2021;0.000186811;39716
08/06/2021;0.000262056;55713
09/06/2021;0.000399186;84867
10/06/2021;0.000429182;91244
11/06/2021;0.000405983;86312
12/06/2021;0.000347004;73773
13/06/2021;0.00017396;36984
14/06/2021;0.000200809;42692
15/06/2021;0.000409882;87141
16/06/2021;0.000406999;86528
17/06/2021;0.000359793;76492
18/06/2021;0.000448937;95444
19/06/2021;0.000366576;77934
20/06/2021;0.000209722;44587
21/06/2021;0.000213594;45410
22/06/2021;0.000584421;124248
23/06/2021;0.000364045;77396
24/06/2021;0.000360414;76624
25/06/2021;0.000353062;75061
26/06/2021;0.000285348;60665
27/06/2021;0.000150423;31980
28/06/2021;0.000150795;32059
29/06/2021;0.000310235;65956
30/06/2021;0.000221745;47143
01/07/2021;0.000287535;61130
02/07/2021;0.000299022;63572
03/07/2021;0.000252742;53733
04/07/2021;0.000119765;25462
05/07/2021;0.000131397;27935
06/07/2021;0.000290136;61683
07/07/2021;0.000254784;54167
08/07/2021;0.00025469;54147
09/07/2021;0.000274939;58452
10/07/2021;0.000207531;44121
11/07/2021;9.00611E-05;19147
12/07/2021;9.04657E-05;19233
13/07/2021;0.000228438;48566
14/07/2021;0.000263862;56097
15/07/2021;0.00025587;54398
16/07/2021;0.000201858;42915
17/07/2021;0.000230621;49030
18/07/2021;7.87723E-05;16747
19/07/2021;7.88147E-05;16756
20/07/2021;0.000146515;31149
21/07/2021;0.000262634;55836
22/07/2021;0.000228979;48681
23/07/2021;0.000503857;107120
24/07/2021;0.000162973;34648
25/07/2021;8.58702E-05;18256
26/07/2021;0.000100856;21442
27/07/2021;0.000205038;43591
28/07/2021;0.000221303;47049
29/07/2021;0.00019436;41321
30/07/2021;0.000189925;40378
31/07/2021;0.000165042;35088
01/08/2021;9.57338E-05;20353
02/08/2021;8.87817E-05;18875
03/08/2021;0.00015285;32496
04/08/2021;0.000190673;40537
05/08/2021;0.00018572;39484
06/08/2021;0.00020071;42671
07/08/2021;0.00018595;39533
08/08/2021;6.53528E-05;13894
09/08/2021;7.31044E-05;15542
10/08/2021;0.000166802;35462
11/08/2021;0.000166712;35443
12/08/2021;0.000168664;35858
13/08/2021;0.000155198;32995
14/08/2021;0.000137827;29302
15/08/2021;6.47554E-05;13767
16/08/2021;8.55597E-05;18190
17/08/2021;0.000183471;39006
18/08/2021;0.000188951;40171
19/08/2021;0.000169393;36013
20/08/2021;0.000160927;34213
21/08/2021;0.000119106;25322
22/08/2021;6.55927E-05;13945
23/08/2021;7.36312E-05;15654
24/08/2021;0.000149619;31809
25/08/2021;0.000141011;29979
26/08/2021;0.000145452;30923
27/08/2021;0.000130555;27756
28/08/2021;0.000107935;22947
29/08/2021;5.29774E-05;11263
30/08/2021;6.02117E-05;12801
31/08/2021;0.000126275;26846
01/09/2021;0.00012111;25748
02/09/2021;0.000127107;27023
03/09/2021;0.000111025;23604
04/09/2021;9.56021E-05;20325
05/09/2021;5.95532E-05;12661
06/09/2021;4.78457E-05;10172
07/09/2021;6.39887E-05;13604
08/09/2021;6.67074E-05;14182
09/09/2021;0.000154389;32823
10/09/2021;7.73989E-05;16455
11/09/2021;6.47319E-05;13762
