date;Argentina;Argentina
11/10/2020;0.000228004;10324
12/10/2020;0.000210336;9524
13/10/2020;0.000293838;13305
14/10/2020;0.00032977;14932
15/10/2020;0.000377562;17096
16/10/2020;0.000365415;16546
17/10/2020;0.000298366;13510
18/10/2020;0.000233238;10561
19/10/2020;0.000286705;12982
20/10/2020;0.000360799;16337
21/10/2020;0.000404726;18326
22/10/2020;0.000360534;16325
23/10/2020;0.000347129;15718
24/10/2020;0.000264311;11968
25/10/2020;0.000204351;9253
26/10/2020;0.000258657;11712
27/10/2020;0.000315989;14308
28/10/2020;0.000307509;13924
29/10/2020;0.000292999;13267
30/10/2020;0.000295473;13379
31/10/2020;0.000215216;9745
01/11/2020;0.000145958;6609
02/11/2020;0.00021197;9598
03/11/2020;0.00026822;12145
04/11/2020;0.000235247;10652
05/11/2020;0.000245141;11100
06/11/2020;0.000260292;11786
07/11/2020;0.000177496;8037
08/11/2020;0.000117734;5331
09/11/2020;0.000183679;8317
10/11/2020;0.00026451;11977
11/11/2020;0.000240283;10880
12/11/2020;0.000246533;11163
13/11/2020;0.000261904;11859
14/11/2020;0.000187014;8468
15/11/2020;0.000124669;5645
16/11/2020;0.000174315;7893
17/11/2020;0.000234563;10621
18/11/2020;0.00022818;10332
19/11/2020;0.00022299;10097
20/11/2020;0.000212191;9608
21/11/2020;0.000157686;7140
22/11/2020;9.24028E-05;4184
23/11/2020;9.41917E-05;4265
24/11/2020;0.000158216;7164
25/11/2020;0.000189775;8593
26/11/2020;0.000199713;9043
27/11/2020;0.000173277;7846
28/11/2020;0.000134673;6098
29/11/2020;0.000119965;5432
30/11/2020;0.000126458;5726
01/12/2020;0.000177496;8037
02/12/2020;0.000166365;7533
03/12/2020;0.000168485;7629
04/12/2020;0.000152363;6899
05/12/2020;0.000114863;5201
06/12/2020;7.2394E-05;3278
07/12/2020;7.06493E-05;3199
08/12/2020;7.97261E-05;3610
09/12/2020;0.000117116;5303
10/12/2020;0.000154461;6994
11/12/2020;0.000157067;7112
12/12/2020;0.000116475;5274
13/12/2020;7.85777E-05;3558
14/12/2020;0.000111793;5062
15/12/2020;0.000154174;6981
16/12/2020;0.000151126;6843
17/12/2020;0.000161793;7326
18/12/2020;0.000154638;7002
19/12/2020;0.000127981;5795
20/12/2020;9.09011E-05;4116
21/12/2020;0.000129262;5853
22/12/2020;0.000179792;8141
23/12/2020;0.00018962;8586
24/12/2020;0;0
25/12/2020;0.000236064;10689
26/12/2020;8.20009E-05;3713
27/12/2020;0.000111087;5030
28/12/2020;0.000159364;7216
29/12/2020;0.000257288;11650
30/12/2020;0.000259828;11765
31/12/2020;0.000255875;11586
01/01/2021;9.0106E-05;4080
02/01/2021;0.000115724;5240
03/01/2021;0.000129947;5884
04/01/2021;0.000181581;8222
05/01/2021;0.000304549;13790
06/01/2021;0.000296842;13441
07/01/2021;0.000305543;13835
08/01/2021;0.000294744;13346
09/01/2021;0.000244192;11057
10/01/2021;0.000172438;7808
11/01/2021;0.000192226;8704
12/01/2021;0.000304395;13783
13/01/2021;0.000281029;12725
14/01/2021;0.000293419;13286
15/01/2021;0.00027235;12332
16/01/2021;0.000197261;8932
17/01/2021;0.000160424;7264
18/01/2021;0.000180764;8185
19/01/2021;0.000268132;12141
20/01/2021;0.000267491;12112
21/01/2021;0.000251678;11396
22/01/2021;0.000237478;10753
23/01/2021;0.000184673;8362
24/01/2021;0.000111109;5031
25/01/2021;0.000167359;7578
26/01/2021;0.000229881;10409
27/01/2021;0.000239466;10843
28/01/2021;0.000209165;9471
29/01/2021;0.00021727;9838
30/01/2021;0.000152429;6902
31/01/2021;0.000109872;4975
01/02/2021;0.000146069;6614
02/02/2021;0.000214112;9695
03/02/2021;0.000203092;9196
04/02/2021;0.000196356;8891
05/02/2021;0.000184938;8374
06/02/2021;0.000147527;6680
07/02/2021;8.07862E-05;3658
08/02/2021;0.000113825;5154
09/02/2021;0.000172129;7794
10/02/2021;0.000170914;7739
11/02/2021;0.000161462;7311
12/02/2021;0.000157928;7151
13/02/2021;0.000133768;6057
14/02/2021;0.00009375;4245
15/02/2021;7.19744E-05;3259
16/02/2021;8.84055E-05;4003
17/02/2021;0.000133922;6064
18/02/2021;0.000169413;7671
19/02/2021;0.000174161;7886
20/02/2021;0.000131272;5944
21/02/2021;8.19125E-05;3709
22/02/2021;0.000119633;5417
23/02/2021;0.000165128;7477
24/02/2021;0.00018072;8183
25/02/2021;0.000181846;8234
26/02/2021;0.000112257;5083
27/02/2021;0.000120782;5469
28/02/2021;6.99647E-05;3168
01/03/2021;0.000102871;4658
02/03/2021;0.00014693;6653
03/03/2021;0.000173476;7855
04/03/2021;0.000164134;7432
05/03/2021;0.000174271;7891
06/03/2021;0.000107332;4860
07/03/2021;6.45318E-05;2922
08/03/2021;0.000111705;5058
09/03/2021;0.000161374;7307
10/03/2021;0.000169898;7693
11/03/2021;0.000181184;8204
12/03/2021;0.000173344;7849
13/03/2021;0.000138648;6278
14/03/2021;8.16475E-05;3697
15/03/2021;0.000136131;6164
16/03/2021;0.000181868;8235
17/03/2021;0.000183392;8304
18/03/2021;0.000183922;8328
19/03/2021;0.000180212;8160
20/03/2021;0.000150751;6826
21/03/2021;8.90459E-05;4032
22/03/2021;0.000141365;6401
23/03/2021;0.000207708;9405
24/03/2021;0.000183304;8300
25/03/2021;0.000181935;8238
26/03/2021;0.000285689;12936
27/03/2021;0.000228313;10338
28/03/2021;0.000159187;7208
29/03/2021;0.000309496;14014
30/03/2021;0.000224249;10154
31/03/2021;0.000354594;16056
01/04/2021;0.000318684;14430
02/04/2021;0.000218684;9902
03/04/2021;0.000229329;10384
04/04/2021;0.000219854;9955
05/04/2021;0.000301833;13667
06/04/2021;0.00046091;20870
07/04/2021;0.000486727;22039
08/04/2021;0.000523034;23683
09/04/2021;0.000532906;24130
10/04/2021;0.000428865;19419
11/04/2021;0.000337058;15262
12/04/2021;0.000429262;19437
13/04/2021;0.000596312;27001
14/04/2021;0.000555587;25157
15/04/2021;0.000552098;24999
16/04/2021;0.000650883;29472
17/04/2021;0.000422239;19119
18/04/2021;0.000359254;16267
19/04/2021;0.000451877;20461
20/04/2021;0.000643662;29145
21/04/2021;0.000572703;25932
22/04/2021;0.00060106;27216
23/04/2021;0.000615813;27884
24/04/2021;0.00046864;21220
25/04/2021;0.000331537;15012
26/04/2021;0.00041504;18793
27/04/2021;0.000563052;25495
28/04/2021;0.000523807;23718
29/04/2021;0.000575375;26053
30/04/2021;0.000495141;22420
01/05/2021;0.000364443;16502
02/05/2021;0.000251634;11394
03/05/2021;0.00035159;15920
04/05/2021;0.000579461;26238
05/05/2021;0.00053178;24079
06/05/2021;0.000531935;24086
07/05/2021;0.000498057;22552
08/05/2021;0.000398057;18024
09/05/2021;0.000255786;11582
10/05/2021;0.000383856;17381
11/05/2021;0.000573675;25976
12/05/2021;0.000540526;24475
13/05/2021;0.000585932;26531
14/05/2021;0.000604307;27363
15/05/2021;0.000474139;21469
16/05/2021;0.000361087;16350
17/05/2021;0.000633392;28680
18/05/2021;0.00078496;35543
19/05/2021;0.000875707;39652
20/05/2021;0.000792491;35884
21/05/2021;0.000783304;35468
22/05/2021;0.00071049;32171
23/05/2021;0.000547725;24801
