date;Italy;Italy;;
25-mai-21;5.40722E-05;3220;;
26-mai-21;6.60789E-05;3935;;
27-mai-21;6.95718E-05;4143;;
28-mai-21;6.2754E-05;3737;;
29-mai-21;5.62217E-05;3348;;
30-mai-21;4.95046E-05;2948;;
31-mai-21;3.0529E-05;1818;;
01-jun-21;4.16961E-05;2483;;
02-jun-21;4.86314E-05;2896;;
03-jun-21;3.29639E-05;1963;;
04-jun-21;4.29219E-05;2556;;
05-jun-21;4.08732E-05;2434;;
06-jun-21;3.82032E-05;2275;;
07-jun-21;2.13266E-05;1270;;
08-jun-21;3.18052E-05;1894;;
09-jun-21;3.69102E-05;2198;;
10-jun-21;3.4895E-05;2078;;
11-jun-21;3.17716E-05;1892;;
12-jun-21;2.89169E-05;1722;;
13-jun-21;2.33417E-05;1390;;
14-jun-21;1.52309E-05;907;;
15-jun-21;2.10411E-05;1253;;
16-jun-21;2.35097E-05;1400;;
17-jun-21;2.22166E-05;1323;;
18-jun-21;1.92611E-05;1147;;
19-jun-21;2.00336E-05;1193;;
20-jun-21;1.47943E-05;881;;
21-jun-21;8.12762E-06;484;;
22-jun-21;1.4005E-05;834;;
23-jun-21;1.91436E-05;1140;;
24-jun-21;4.46683E-06;266;;
25-jun-21;1.26113E-05;751;;
26-jun-21;1.40722E-05;838;;
27-jun-21;1.30982E-05;780;;
28-jun-21;6.49874E-06;387;;
29-jun-21;1.13686E-05;677;;
30-jun-21;1.30311E-05;776;;
01-jul-21;1.47607E-05;879;;
02-jul-21;1.33333E-05;794;;
03-jul-21;1.56003E-05;929;;
04-jul-21;1.35348E-05;806;;
05-jul-21;8.06045E-06;480;;
06-jul-21;1.52309E-05;907;;
07-jul-21;1.69605E-05;1010;;
08-jul-21;2.33585E-05;1391;;
09-jul-21;2.32746E-05;1386;;
10-jul-21;2.34089E-05;1394;;
11-jul-21;2.33585E-05;1391;;
12-jul-21;1.4895E-05;887;;
13-jul-21;2.56927E-05;1530;;
14-jul-21;3.61545E-05;2153;;
15-jul-21;4.15281E-05;2473;;
16-jul-21;4.86146E-05;2895;;
17-jul-21;5.23594E-05;3118;;
18-jul-21;5.24937E-05;3126;;
19-jul-21;3.47607E-05;2070;;
20-jul-21;5.96977E-05;3555;;
21-jul-21;7.14358E-05;4254;;
22-jul-21;8.49034E-05;5056;;
23-jul-21;8.63476E-05;5142;;
24-jul-21;8.62804E-05;5138;;
25-jul-21;7.96306E-05;4742;;
26-jul-21;5.2309E-05;3115;;
27-jul-21;7.58354E-05;4516;;
28-jul-21;9.56003E-05;5693;;
29-jul-21;0.00010356;6167;;
30-jul-21;0.00011105;6613;;
31-jul-21;0.000109303;6509;;
01-ago-21;8.93367E-05;5320;;
02-ago-21;5.34845E-05;3185;;
03-ago-21;8.1293E-05;4841;;
04-ago-21;0.000110663;6590;;
05-ago-21;0.00012131;7224;;
06-ago-21;0.000110814;6599;;
07-ago-21;0.000115819;6897;;
08-ago-21;9.6272E-05;5733;;
09-ago-21;7.0529E-05;4200;;
10-ago-21;9.44416E-05;5624;;
11-ago-21;0.000116222;6921;;
12-ago-21;0.000122032;7267;;
13-ago-21;0.000124232;7398;;
14-ago-21;0.000120588;7181;;
15-ago-21;9.5063E-05;5661;;
16-ago-21;6.16121E-05;3669;;
17-ago-21;8.84635E-05;5268;;
18-ago-21;0.000120218;7159;;
19-ago-21;0.000121579;7240;;
20-ago-21;0.000121243;7220;;
21-ago-21;0.000125374;7466;;
22-ago-21;9.94458E-05;5922;;
23-ago-21;6.9958E-05;4166;;
24-ago-21;0.000102065;6078;;
25-ago-21;0.000126599;7539;;
26-ago-21;0.000121159;7215;;
27-ago-21;0.000131369;7823;;
28-ago-21;0.000115164;6858;;
29-ago-21;9.99832E-05;5954;;
30-ago-21;7.1419E-05;4253;;
31-ago-21;9.2225E-05;5492;;
01-set-21;0.000109085;6496;;
02-set-21;0.000113417;6754;;
03-set-21;0.000112997;6729;;
04-set-21;0.000103375;6156;;
05-set-21;8.92359E-05;5314;;
06-set-21;5.62049E-05;3347;;
07-set-21;7.91772E-05;4715;;
08-set-21;9.94291E-05;5921;;
09-set-21;9.26616E-05;5518;;
10-set-21;9.43241E-05;5617;;
